Country	Rank	Song	Artists	Album	Cover	Link
Austria	1	Houdini	Eminem	Houdini	https://i.scdn.co/image/ab67616d0000b273810603c94c9246379604cf1a	https://open.spotify.com/track/2HYFX63wP3otVIvopRS99Z
Austria	2	ZEIT, DASS SICH WAS DREHT	$OHO BANI, Herbert Grönemeyer, Ericson	ZEIT, DASS SICH WAS DREHT	https://i.scdn.co/image/ab67616d0000b273822a12155c7808871858d7e0	https://open.spotify.com/track/1NifMX1JqCz9caJowG8dxq
Austria	3	i like the way you kiss me	Artemas	i like the way you kiss me	https://i.scdn.co/image/ab67616d0000b273e67611dbbf69a90d0b6cb738	https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf
Austria	4	Gata Only	FloyyMenor, Cris Mj	Gata Only	https://i.scdn.co/image/ab67616d0000b273c4583f3ad76630879a75450a	https://open.spotify.com/track/6XjDF6nds4DE2BBbagZol6
Austria	5	Espresso	Sabrina Carpenter	Espresso	https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5	https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75
Austria	6	Too Sweet	Hozier	Unreal Unearth: Unheard	https://i.scdn.co/image/ab67616d0000b2733e1b212546dac35443735241	https://open.spotify.com/track/5Z0UnEtpLDQyYlWwgi8m9C
Austria	7	Mittelmeer	Pashanim	2000	https://i.scdn.co/image/ab67616d0000b27333ff34130a6eeecb47d24d26	https://open.spotify.com/track/6leQi7NakJQS1vHRtZsroe
Austria	8	Panama	GReeeN	Glückskind	https://i.scdn.co/image/ab67616d0000b273ef496a180518f3ace76dd9ef	https://open.spotify.com/track/3qcreqi8RaGqahtJSQDxNI
Austria	9	Beautiful Things	Benson Boone	Fireworks & Rollerblades	https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40	https://open.spotify.com/track/3xkHsmpQCBMytMJNiDf3Ii
Austria	10	Stargazing	Myles Smith	Stargazing	https://i.scdn.co/image/ab67616d0000b27381b12e1a0584e8ea7ba2ae4a	https://open.spotify.com/track/3Vr3zh0r7ALn8VLqCiRR10
Hungary	1	SZÍVTIPRÓ	T. Danny	SZÍVTIPRÓ	https://i.scdn.co/image/ab67616d0000b27306af53d532b59243af17dd17	https://open.spotify.com/track/5LsAiClz23EjfEvQpyzuUi
Hungary	2	Strawberry	DESH	Strawberry	https://i.scdn.co/image/ab67616d0000b273571bb6ad882465a13f831971	https://open.spotify.com/track/6DmpM21b070AdtXm7Lc370
Hungary	3	Rampapapam	DESH, Young Fly, Azahriah, Lord Panamo	CARPE DIEM	https://i.scdn.co/image/ab67616d0000b2737ac1501b2c36c9b4e785f336	https://open.spotify.com/track/1E2flGJxXQNeBLRqQXiAsK
Hungary	4	introvertált dal	Azahriah	memento	https://i.scdn.co/image/ab67616d0000b273b9f856c934243d5bb06f0deb	https://open.spotify.com/track/2EAvOY1uymm5ZAd0ZbnnPW
Hungary	5	Espresso	Sabrina Carpenter	Espresso	https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5	https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75
Hungary	6	Voodoo Baba	Manuel, Moriones	Torz	https://i.scdn.co/image/ab67616d0000b2734c5b1c2a1c62e0e3f7b6e0c7	https://open.spotify.com/track/1tTOuvmJvZ2DACbTLkwZIT
Hungary	7	i like the way you kiss me	Artemas	i like the way you kiss me	https://i.scdn.co/image/ab67616d0000b273e67611dbbf69a90d0b6cb738	https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf
Hungary	8	Gata Only	FloyyMenor, Cris Mj	Gata Only	https://i.scdn.co/image/ab67616d0000b273c4583f3ad76630879a75450a	https://open.spotify.com/track/6XjDF6nds4DE2BBbagZol6
Hungary	9	Úgy Hiszem	Pogány Induló	Vagy Mindent Vagy Semmit	https://i.scdn.co/image/ab67616d0000b2733b668d686dd3adbf0970e377	https://open.spotify.com/track/2zIijzos3rNY6DkvX2ZYDX
Hungary	10	Mind1	Azahriah, DESH	A ló túloldalán	https://i.scdn.co/image/ab67616d0000b2737df2b22056522c8afc43e631	https://open.spotify.com/track/7lemjnVRAqQtqqLdSqCKqM
Ukraine	1	Барабан	Artem Pivovarov, Klavdia Petrivna	THE BEST	https://i.scdn.co/image/ab67616d0000b27378aed5a849ad080b2d8f0908	https://open.spotify.com/track/2WeoEwj67HCAR2QULKnql6
Ukraine	2	i like the way you kiss me	Artemas	i like the way you kiss me	https://i.scdn.co/image/ab67616d0000b273e67611dbbf69a90d0b6cb738	https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf
Ukraine	3	А я все плакала	DOROFEEVA, LEBIGA	А я все плакала	https://i.scdn.co/image/ab67616d0000b273b8fc053f9b02cedfe27bfdc4	https://open.spotify.com/track/6gYFTv081r8gQaC19iiszf
Ukraine	4	А що?	MONATIK	А що?	https://i.scdn.co/image/ab67616d0000b2737d22bd02be76da51ed835c52	https://open.spotify.com/track/12TC6zACzfx6ey8ZAP6R3y
Ukraine	5	Хартбіт	DOROFEEVA	Хартбіт	https://i.scdn.co/image/ab67616d0000b273966ff2362799dc0a70f305e3	https://open.spotify.com/track/198PqHQboOXnYfwD1cr9Sa
Ukraine	6	Я тобі брехала	Klavdia Petrivna	Я тобі брехала	https://i.scdn.co/image/ab67616d0000b273be3762a4de0a80b34c201cf5	https://open.spotify.com/track/1G5M0Aox7zAnvFjPqSo3fY
Ukraine	7	Селфхарм	Monetochka	Молитвы. Анекдоты. Тосты.	https://i.scdn.co/image/ab67616d0000b27370ebd1b40be2fa37d043ee14	https://open.spotify.com/track/46tUEN0dIhVxYbOgxCvkF4
Ukraine	8	Забий	Wellboy, Parfeniuk	Забий	https://i.scdn.co/image/ab67616d0000b27326f0c2b754381093f7617ab2	https://open.spotify.com/track/23cpg22rXsND2u3ElYxQdj
Ukraine	9	Teresa & Maria	alyona alyona, Jerry Heil	Teresa & Maria	https://i.scdn.co/image/ab67616d0000b27371f99b38ac1c81d04abc4203	https://open.spotify.com/track/7n3Czk07KugPQOWuqCHDmF
Ukraine	10	MILLION DOLLAR BABY	Tommy Richman	MILLION DOLLAR BABY	https://i.scdn.co/image/ab67616d0000b27301c0cd5da820e6128655854f	https://open.spotify.com/track/5AJ9hqTS2wcFQCELCFRO7A
Czech Republic	1	Letná	Rohony, Manene	Letná	https://i.scdn.co/image/ab67616d0000b273159428652ec410def2440397	https://open.spotify.com/track/7JLiGPvaKNNrYJHfzfANe5
Czech Republic	2	Narcos	Hard Rico, Yzomandias	Narcos	https://i.scdn.co/image/ab67616d0000b273f69eef414e6840950acda925	https://open.spotify.com/track/1OWQtElgSSmAcIT6fZLJ6R
Czech Republic	3	Suave	Calin	Bieber Fever	https://i.scdn.co/image/ab67616d0000b273beec85cc5d3d5ada4b4d4784	https://open.spotify.com/track/5E1tL0zofGATKf1cthCxwf
Czech Republic	4	Window Shopper	Calin	Bieber Fever	https://i.scdn.co/image/ab67616d0000b273beec85cc5d3d5ada4b4d4784	https://open.spotify.com/track/2x39J1ztiWV60Q7WeSHIpW
Czech Republic	5	i like the way you kiss me	Artemas	i like the way you kiss me	https://i.scdn.co/image/ab67616d0000b273e67611dbbf69a90d0b6cb738	https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf
Czech Republic	6	Pedro	Jaxomy, Agatino Romero, Raffaella Carrà	Pedro	https://i.scdn.co/image/ab67616d0000b27384464d902b1ebaf62775a6da	https://open.spotify.com/track/48lxT5qJF0yYyf2z4wB4xW
Czech Republic	7	Beautiful Things	Benson Boone	Fireworks & Rollerblades	https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40	https://open.spotify.com/track/3xkHsmpQCBMytMJNiDf3Ii
Czech Republic	8	Baila	KOJO	Baila	https://i.scdn.co/image/ab67616d0000b2735ee4c42157d95d1e244f023a	https://open.spotify.com/track/4USCgD3COcDf6KX1LNX3ga
Czech Republic	9	Espresso	Sabrina Carpenter	Espresso	https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5	https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75
Czech Republic	10	Síla Starejch Vín	ŠKWOR	Sliby & Lži	https://i.scdn.co/image/ab67616d0000b273e4fb100068f72b0e7244aabd	https://open.spotify.com/track/6qgMr9LacgnihY9IdYriMP
Spain	1	REAL GANGSTA LOVE	Trueno	EL ÚLTIMO BAILE	https://i.scdn.co/image/ab67616d0000b27368a450f7bcdc187e20f0ba0a	https://open.spotify.com/track/1pymWRCuZfCd0zdiBJo0Hj
Spain	2	BADGYAL	SAIKO, JC Reyes, Dei V	SAKURA	https://i.scdn.co/image/ab67616d0000b273e346fc6f767ca2ac8365fe60	https://open.spotify.com/track/3ng8tfwvzR4BBwa9yaMms6
Spain	3	Potra Salvaje - Hard Remix	Isabel Aaiún, Fernando Moreno	Potra Salvaje (Hard Remix)	https://i.scdn.co/image/ab67616d0000b27340b1d6f6201f92d7f4accc0c	https://open.spotify.com/track/4gdpQ6zuDsePnD1YIDJCRw
Spain	4	Santa	Rvssian, Rauw Alejandro, Ayra Starr	Santa	https://i.scdn.co/image/ab67616d0000b273edf307a421ee80c9262f8dc8	https://open.spotify.com/track/6a9Z1jUms915w4O7N1PxjY
Spain	5	Si Antes Te Hubiera Conocido	KAROL G	Si Antes Te Hubiera Conocido	https://i.scdn.co/image/ab67616d0000b273491678beaffcefac517a699e	https://open.spotify.com/track/6WatFBLVB0x077xWeoVc2k
Spain	6	LA REINA	Lola Indigo	LA REINA	https://i.scdn.co/image/ab67616d0000b273237f2c6530efb88428bb177e	https://open.spotify.com/track/06JM1fuKPQOrSL6s9mzDvV
Spain	7	Gata Only	FloyyMenor, Cris Mj	Gata Only	https://i.scdn.co/image/ab67616d0000b273c4583f3ad76630879a75450a	https://open.spotify.com/track/6XjDF6nds4DE2BBbagZol6
Spain	8	EL PANTALON - RUMBAS	Omar Montes, Lola Indigo, Las Chuches	LAGRIMAS DE UN MALEANTE	https://i.scdn.co/image/ab67616d0000b273b97f603621a230afd6e578df	https://open.spotify.com/track/7CsOowK8aWlxgjuZLW7pXA
Spain	9	FRIKI	Gonzy	FRIKI	https://i.scdn.co/image/ab67616d0000b273df9069eb8ce60b8f2059aee4	https://open.spotify.com/track/2TWX6XUqmPx44FDOmgtb0I
Spain	10	El Conjuntito	El Bobe, Omar Montes	El Conjuntito	https://i.scdn.co/image/ab67616d0000b273cd22e1599ed8847e9463dfc2	https://open.spotify.com/track/2bipvepI8ridFvIAImR5Xf
Slovakia	1	NENI STRE$S	Pil C, Luca Brassi10x, Separ	VOJNA	https://i.scdn.co/image/ab67616d0000b2734f535b05f2eb229ddf6b9c42	https://open.spotify.com/track/1P8o6bOTyh1kEqe72JFzzO
Slovakia	2	NESTARAM SA	Pil C, Luca Brassi10x	VOJNA	https://i.scdn.co/image/ab67616d0000b2734f535b05f2eb229ddf6b9c42	https://open.spotify.com/track/2sfL5PDP2uid2zbDYOLaPv
Slovakia	3	Bbejbb	Separ, Peter Pann	DOVIDENIA	https://i.scdn.co/image/ab67616d0000b27373d128529d8cc2081e959873	https://open.spotify.com/track/3BQqSkF8Raj9lEzJdscmmu
Slovakia	4	Pedro	Jaxomy, Agatino Romero, Raffaella Carrà	Pedro	https://i.scdn.co/image/ab67616d0000b27384464d902b1ebaf62775a6da	https://open.spotify.com/track/48lxT5qJF0yYyf2z4wB4xW
Slovakia	5	Suave	Calin	Bieber Fever	https://i.scdn.co/image/ab67616d0000b273beec85cc5d3d5ada4b4d4784	https://open.spotify.com/track/5E1tL0zofGATKf1cthCxwf
Slovakia	6	i like the way you kiss me	Artemas	i like the way you kiss me	https://i.scdn.co/image/ab67616d0000b273e67611dbbf69a90d0b6cb738	https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf
Slovakia	7	Narcos	Hard Rico, Yzomandias	Narcos	https://i.scdn.co/image/ab67616d0000b273f69eef414e6840950acda925	https://open.spotify.com/track/1OWQtElgSSmAcIT6fZLJ6R
Slovakia	8	Netancuj	Luca Brassi10x, Shimmi, AstralKid22	Ghettoven	https://i.scdn.co/image/ab67616d0000b2733825a769067cd49d5b43ce40	https://open.spotify.com/track/6dsXarPGibMpzgH5OfvC5P
Slovakia	9	Peniaze	Luca Brassi10x, Crosso, Tisci	Ghettoven	https://i.scdn.co/image/ab67616d0000b2733825a769067cd49d5b43ce40	https://open.spotify.com/track/51wzXdbSUBQt0bcjBpLqXR
Slovakia	10	Espresso	Sabrina Carpenter	Espresso	https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5	https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75
Switzerland	1	Gata Only	FloyyMenor, Cris Mj	Gata Only	https://i.scdn.co/image/ab67616d0000b273c4583f3ad76630879a75450a	https://open.spotify.com/track/6XjDF6nds4DE2BBbagZol6
Switzerland	2	Espresso	Sabrina Carpenter	Espresso	https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5	https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75
Switzerland	3	Beautiful Things	Benson Boone	Fireworks & Rollerblades	https://i.scdn.co/image/ab67616d0000b273cc04ff3e70e146ba9abacf40	https://open.spotify.com/track/3xkHsmpQCBMytMJNiDf3Ii
Switzerland	4	Houdini	Eminem	Houdini	https://i.scdn.co/image/ab67616d0000b273810603c94c9246379604cf1a	https://open.spotify.com/track/2HYFX63wP3otVIvopRS99Z
Switzerland	5	Belong Together	Mark Ambor	Belong Together	https://i.scdn.co/image/ab67616d0000b273ed71b8008aaa879622f8c3b5	https://open.spotify.com/track/5uQ7de4EWjb3rkcFxyEOpu
Switzerland	6	Stargazing	Myles Smith	Stargazing	https://i.scdn.co/image/ab67616d0000b27381b12e1a0584e8ea7ba2ae4a	https://open.spotify.com/track/3Vr3zh0r7ALn8VLqCiRR10
Switzerland	7	BIRDS OF A FEATHER	Billie Eilish	HIT ME HARD AND SOFT	https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62	https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB
Switzerland	8	i like the way you kiss me	Artemas	i like the way you kiss me	https://i.scdn.co/image/ab67616d0000b273e67611dbbf69a90d0b6cb738	https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf
Switzerland	9	Too Sweet	Hozier	Unreal Unearth: Unheard	https://i.scdn.co/image/ab67616d0000b2733e1b212546dac35443735241	https://open.spotify.com/track/5Z0UnEtpLDQyYlWwgi8m9C
Switzerland	10	Move	Adam Port, Stryv, Keinemusik, Orso, Malachiii	Move	https://i.scdn.co/image/ab67616d0000b27317a013a00d0a33f3dd49974d	https://open.spotify.com/track/1BJJbSX6muJVF2AK7uH1x4
Sweden	1	Look Who's Laughing Now	Benjamin Ingrosso	Look Who's Laughing Now	https://i.scdn.co/image/ab67616d0000b27386692c9940ff101c26ffef87	https://open.spotify.com/track/5iBSvGT3waImHIGW1eEeH7
Sweden	2	Sista Gång	C.Gambino	Sista Gång	https://i.scdn.co/image/ab67616d0000b273f20fe0452c176c4eaa2e56b2	https://open.spotify.com/track/2i659C6ywROaFG0kj5eOoA
Sweden	3	A Bar Song (Tipsy)	Shaboozey	Where I've Been, Isn't Where I'm Going	https://i.scdn.co/image/ab67616d0000b27360df033c8f8b17384387666a	https://open.spotify.com/track/5fZJQrFKWQLb7FpJXZ1g7K
Sweden	4	Honey Boy (feat. Nile Rodgers & Shenseea)	Purple Disco Machine, Benjamin Ingrosso, Nile Rodgers, Shenseea	Honey Boy (feat. Nile Rodgers & Shenseea)	https://i.scdn.co/image/ab67616d0000b27351254e0f220bfed7028497ac	https://open.spotify.com/track/1NpIUD4KqHaMT91kw0YV40
Sweden	5	Sunnanvind	Mares	Sunnanvind	https://i.scdn.co/image/ab67616d0000b273deea6f33cc7e6b4d2a4151c6	https://open.spotify.com/track/4GK4mydvnsodLEHWb4zJV4
Sweden	6	Espresso	Sabrina Carpenter	Espresso	https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5	https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75
Sweden	7	Slutet av sommarn	Molly Sandén	Slutet av sommarn	https://i.scdn.co/image/ab67616d0000b273d1802c814b165bac387b5121	https://open.spotify.com/track/0mfzkwz6c0sb5qpkk79ZDO
Sweden	8	Maraton (feat. Eah Jé)	Miss Li, Eah Jé	Maraton (feat. Eah Jé)	https://i.scdn.co/image/ab67616d0000b2731112245dc30434d0103ec4fc	https://open.spotify.com/track/0FAWHFKFtk9eUQK6gLxBkw
Sweden	9	Please Please Please	Sabrina Carpenter	Please Please Please	https://i.scdn.co/image/ab67616d0000b273de84adf0e48248ea2d769c3e	https://open.spotify.com/track/5N3hjp1WNayUPZrA8kJmJP
Sweden	10	I Had Some Help (Feat. Morgan Wallen)	Post Malone, Morgan Wallen	I Had Some Help	https://i.scdn.co/image/ab67616d0000b27397306976e3eb8aad53b754eb	https://open.spotify.com/track/7221xIgOnuakPdLqT0F3nP
Romania	1	BABASHA - Păi Naa	كريم كرستيانو و اسلام كابونجا	BABASHA - Păi Naa	https://i.scdn.co/image/ab67616d0000b273587529262d10e48dcaf770f4	https://open.spotify.com/track/6tour4iZyJ5dMqTuqQwbPm
Romania	2	Baklava	Gya, Babasha	Baklava	https://i.scdn.co/image/ab67616d0000b273111864ba0902738328405451	https://open.spotify.com/track/5jDcoEETEDGuFlKhPm6eIq
Romania	3	Nebunia lui Babasha	Babasha, Ministerul Manelelor	Nebunia lui Babasha	https://i.scdn.co/image/ab67616d0000b273de083a6c69619d52ec88f453	https://open.spotify.com/track/4lq4TC1NoJJOOQlNis8YYN
Romania	4	Aoleu	Babasha, Ministerul Manelelor	Aoleu	https://i.scdn.co/image/ab67616d0000b27335885762bbef6987a4a21bda	https://open.spotify.com/track/0RgvTGup9GpTFJq897mdYo
Romania	5	Ia-ma Du-ma	Babasha	Ia-ma Du-ma	https://i.scdn.co/image/ab67616d0000b2737b6c8362865de3b952741922	https://open.spotify.com/track/7dpjndI7KXtTVAERTplKMw
Romania	6	Baba	Gheboasă, Alberto Guta	Baba	https://i.scdn.co/image/ab67616d0000b273b45332a3b97d8b3cc37d8d32	https://open.spotify.com/track/2LwLdMMTnZgDggYoUxXn8d
Romania	7	"Vorba Francezului - From ""Buzz House"" The Movie"	Tzanca Uraganu, Sheik	"Vorba Francezului (From ""Buzz House"" The Movie)"	https://i.scdn.co/image/ab67616d0000b27393d2e44fb45ccd341757ac90	https://open.spotify.com/track/1lb1SBZXMocgE9O93dfxRr
Romania	8	Vocea ta	Lele, Manele VTM	Vocea ta	https://i.scdn.co/image/ab67616d0000b273674c336e079ed1eb50f0c3ae	https://open.spotify.com/track/7CMacubcnXb2QehV6HF4ew
Romania	9	Burj Khalifa	Tzanca Uraganu, Sheik	Burj Khalifa	https://i.scdn.co/image/ab67616d0000b2733196392fffc33c89bb7ddd08	https://open.spotify.com/track/1XnSv4BUz58CBzioQap0V1
Romania	10	Gata Only	FloyyMenor, Cris Mj	Gata Only	https://i.scdn.co/image/ab67616d0000b273c4583f3ad76630879a75450a	https://open.spotify.com/track/6XjDF6nds4DE2BBbagZol6
Portugal	1	Sagrado Profano	Luísa Sonza, KayBlack	Escândalo Íntimo	https://i.scdn.co/image/ab67616d0000b273c0b2e3d15b417e3195f493d2	https://open.spotify.com/track/7ldcYtMOjtX1eFVEYzj2kJ
Portugal	2	MTG QUEM NÃO QUER SOU EU	DJ TOPO, Seu Jorge, Mc Leozin, MC G15	MTG QUEM NÃO QUER SOU EU	https://i.scdn.co/image/ab67616d0000b273873dd9224b54e0a92887c95c	https://open.spotify.com/track/6RjSXi9cPGroetXeNsWFGL
